EDPD_ID	Data_Source_Type	Lineage_to_Display
EDPD00005	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00006	genome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00007	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00008	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00009	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00010	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00011	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00012	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00013	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea
EDPD00014	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00015	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00016	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00017	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00727	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00019	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00020	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00021	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00022	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00023	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00024	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00025	genome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00026	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00027	transcriptome	Eukaryota;Amorphea;Amoebozoa;Evosea
EDPD00028	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea
EDPD00029	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea
EDPD00728	transcriptome	Eukaryota;Amorphea;Amoebozoa;Tubulinea
EDPD00030	transcriptome	Eukaryota;Amorphea;Obazoa;Apusomonadida
EDPD00031	genome	Eukaryota;Amorphea;Obazoa;Apusomonadida
EDPD00032	EST	Eukaryota;Amorphea;Obazoa;Breviatea
EDPD00033	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea
EDPD00034	transcriptome	Eukaryota;Amorphea;Obazoa;Breviatea
EDPD00035	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00036	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00037	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00038	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00729	single-cell genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00039	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00040	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00041	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00042	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00043	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00044	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00730	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00045	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00046	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00047	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00048	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00049	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00050	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00051	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00052	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00053	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00054	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00055	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00056	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Choanoflagellatea
EDPD00057	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00058	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00059	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00060	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00061	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00062	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00063	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00064	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00065	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00066	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00067	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00068	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00069	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00070	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00071	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00072	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00073	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00074	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00075	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00076	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00077	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00078	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00079	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00080	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00081	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00082	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00083	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00084	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00085	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00086	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00087	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00088	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00089	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00090	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00091	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00092	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00093	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00094	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00095	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00096	transcriptome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00097	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00098	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00099	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00100	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
EDPD00101	genome	Eukaryota;Amorphea;Obazoa;Opisthokonta;Holozoa;filozoa;Choanozoa;Metazoa
