DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,taxon_counts
COLOR,#ff0000
FIELD_COLORS,#762a83,#c2a5cf,#1b7837,#5aae61,#d9f0d3
FIELD_LABELS,Genome,Single-cell genome,Transcriptome,EST,Single-cell transcriptome
LEGEND_TITLE,Data sources
LEGEND_SHAPES,1,1,1,1,1
LEGEND_COLORS,#762a83,#c2a5cf,#1b7837,#5aae61,#d9f0d3
LEGEND_LABELS,Genome,Single-cell genome,Transcriptome,EST,Single-cell transcriptome
DATASET_SCALE,0-0-#bdbdbd-1-1-2,5-5-#bdbdbd-1-1-2,10-10-#bdbdbd-1-1-2,15-15-#bdbdbd-1-1-2,20-20-#bdbdbd-1-1-2,25-25-#bdbdbd-1-1-2
BORDER_WIDTH,0.5
BORDER_COLOR,#bdbdbd
DATA
Centramoebia,1,0,8,0,0
Flabellinia,0,0,19,0,0
Archamoebea,5,0,3,0,0
Cutosea,0,0,3,0,0
Eumycetozoa,8,0,5,0,0
Variosea,0,0,7,0,0
Tubulinea,0,0,13,0,0
Apusomonadida,1,0,1,1,0
Breviatea,0,0,3,1,0
Choanoflagellatea,3,3,21,0,0
Metazoa,58,0,7,0,0
Filasterea,1,0,2,0,0
Ichthyosporea,6,0,2,0,0
Pluriformea,1,0,1,0,0
Fungi,53,7,1,0,0
Rotosphaerida,1,1,2,0,1
Ancyromonadida,0,0,3,0,0
Collodictyonidae,0,0,2,0,0
Rigifilida,0,0,1,0,0
Mantamonas,0,0,1,0,0
Chlorophyta,41,0,38,1,0
Palmophyllophyceae,2,0,1,0,0
Streptophyta,24,0,11,0,0
Glaucophyta,1,0,2,1,0
Picozoa,0,11,0,0,0
Rhodelphis,0,0,2,0,0
Cyanidiales,4,0,0,0,0
Eurhodophytina,5,0,6,2,0
Proteorhodophytina,1,0,11,0,0
Cryptomonadales,3,0,14,0,0
Goniomonas,0,0,2,0,0
Kathablepharidacea,0,0,1,0,0
Palpitomonas,0,0,1,0,0
Ancoracysta,0,0,1,0,0
Centroplasthelida,0,0,4,0,0
Pavlovales,1,0,5,0,0
Prymnesiophyceae,8,0,13,0,0
Ciliophora,7,0,34,0,4
Colponemidae,0,0,3,0,0
Apicomplexa,23,0,1,0,17
Colpodellida,2,0,4,0,1
Squirmida,0,0,0,0,3
Dinoflagellata,16,6,44,0,2
Perkinsea,1,0,1,0,0
MAST-01,0,3,0,0,0
Ochrophyta,45,2,104,1,0
Peronosporomycetes,15,0,0,0,0
Opalozoa,3,5,5,0,0
Sagenista,2,9,6,0,0
Platysulcus,0,0,1,0,0
Cercozoa,3,0,13,1,0
Endomyxa,1,0,5,0,0
Aquavolonida,0,0,1,0,0
Foraminifera,1,0,10,0,0
Radiolaria,0,0,5,0,0
Telonemia,0,0,3,0,0
Diplonemea,1,7,10,0,0
Euglenida,1,1,9,0,15
Kinetoplastea,15,1,4,0,0
Symbiontida,0,0,0,0,2
Heterolobosea,2,0,4,2,0
Jakobida,1,0,1,5,0
Tsukubamonadida,0,0,1,0,0
Hemimastigophora,0,0,0,0,2
Malawimonadida,0,0,1,2,0
Anaeramoebidae,0,0,2,0,0
Parabasalia,2,0,0,0,0
Barthelona,0,0,1,0,0
Fornicata,5,0,6,0,0
Oxymonadida,1,0,0,0,0
Paratrimastigidae,0,0,1,0,0
Trimastigidae,0,0,1,0,0
