EukProt_ID	Data_Source_Type	Lineage_to_Display	Genus_UniEuk	Epithet_UniEuk
EP00005	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Dracoamoeba	jomungandri
EP00006	genome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Acanthamoeba	castellanii
EP01087	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Luapelamoeba	hula
EP01088	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Endostelium	zonatum
EP01089	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Gocevia	fonbrunei
EP01090	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Pellita	catalonica
EP01091	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Cochliopodium	minus
EP01092	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Planopodium	desertum
EP01093	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Centramoebia	Parvamoeba	rugata
EP00007	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Cunea	N/A
EP00008	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Paramoeba	atlantica
EP00009	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Paramoeba	aestuarina
EP00010	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Vexillifera	abyssalis
EP00011	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	N/A	N/A
EP00012	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Vannella	robusta
EP00013	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Stygamoeba	regulata
EP01085	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Mycamoeba	gemmipara
EP01094	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Clydonella	N/A
EP01095	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Lingulamoeba	N/A
EP01096	transcriptome	Eukaryota;Amorphea;Amoebozoa;Discosea;Flabellinia	Ripella	N/A
